dataset,conf,Fold,Rep,RMSE_train,RMSE_test
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,4,2.721367432655778,2.7190146348121824
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,5,2.7741342065428047,3.537853731634917
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,0,3.2330480065674703,3.1042528368466784
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,1,2.8445323284745485,2.8734676602573472
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,2,2.911590358427155,2.7412589385018875
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,3,2.8952150557331704,2.757797719523329
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,4,2.7880389468615,2.7137833348151874
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",2,5,2.9319065659739585,2.801989519395054
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,0,2.774018286139021,3.07966818473378
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,1,2.6396945655239104,2.9005401019754045
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,2,3.0030640018443586,3.3967702077673967
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,3,2.766761591519836,3.0761943308173247
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,4,3.0454589193266672,3.330055061609153
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",3,5,2.9696273446744192,3.403811460892507
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",4,0,3.1395558055745987,3.3492056232124683
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",4,1,2.822394816013985,3.050602781106577
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x117a9c310>, 'sqrt.abs': <function <lambda> at 0x117a9c3a0>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",4,2,2.8328110947259995,2.900417121820704
