dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.8, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.19999999999999996}",2,4,13.70817,12.8954,11.9282
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.8, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.19999999999999996}",2,5,13.70817,22.6454,20.9186
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,0,10.534714,6.65057,6.80996
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,1,10.534714,6.73952,7.3121199999999975
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,2,10.534714,9.7645,10.3896
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,3,10.534714,16.4142,16.7858
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,4,10.534714,8.243780000000001,8.7634
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",3,5,10.534714,5.82449,6.188359999999999
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,0,12.478027999999998,19.8221,19.4979
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,1,12.478027999999998,7.3687,7.95856
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,2,12.478027999999998,5.9938,6.42586
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,3,12.478027999999998,16.5506,17.0721
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,4,12.478027999999998,7.3124699999999985,7.12208
airfoil,"{'population_size': 100, 'init_type': 2, 'p_crossover': 0.2, 'max_depth_creation': 5, 'tournament_size': 4, 'zero_depth': 0, 'mutation_step': 1.0, 'num_random_constants': 0, 'min_random_constant': -100, 'max_random_constant': 100, 'minimization_problem': 1, 'random_tree': 500, 'max_number_generations': 1000, 'p_mutation': 0.8}",4,5,12.478027999999998,10.1122,10.4656
