dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,1,0,0,7.706458,5.90246,5.71633
airfoil,1,0,1,7.7064580000000005,6.9478800000000005,7.325039999999999
airfoil,1,0,2,7.706458,7.648039999999999,7.92599
airfoil,1,0,3,7.7064580000000005,3.99911,4.13304
airfoil,1,0,4,7.706458,8.7732,9.20287
airfoil,1,0,5,7.7064580000000005,16.3253,17.0039
airfoil,2,1,0,12.659424000000001,10.2813,10.2528
airfoil,2,1,1,12.659424,7.6501100000000015,7.6703899999999985
airfoil,2,1,2,12.659424000000001,9.249,9.3054
airfoil,2,1,3,12.659424,8.54935,8.56611
airfoil,2,1,4,12.659424000000001,,
airfoil,2,1,5,12.659424,8.723310000000001,8.61242
airfoil,0,2,0,7.1665639999999975,5.4347900000000005,4.98602
airfoil,0,2,1,7.1665639999999975,7.278339999999999,6.79519
airfoil,0,2,2,7.1665639999999975,5.50301,5.19984
airfoil,0,2,3,7.1665639999999975,6.18844,5.8338
airfoil,0,2,4,7.1665639999999975,5.31217,5.43147
airfoil,0,2,5,7.1665639999999975,5.6006300000000016,6.00975
airfoil,2,3,0,9.484710000000002,19.4268,20.03
airfoil,2,3,1,9.484710000000002,15.5227,16.1652
airfoil,2,3,2,9.484710000000002,32.489000000000004,33.6234
airfoil,2,3,3,9.484710000000002,17.3034,18.0277
airfoil,2,3,4,9.484710000000002,10.1822,10.7108
airfoil,2,3,5,9.484710000000002,18.9087,20.1273
airfoil,0,4,0,7.297139999999999,6.62302,7.08573
airfoil,0,4,1,7.297139999999999,5.84355,6.59749
airfoil,0,4,2,7.297139999999999,6.45786,6.7335
airfoil,0,4,3,7.297139999999999,16.2715,16.6983
airfoil,0,4,4,7.297139999999999,5.19105,5.08823
airfoil,0,4,5,7.297139999999999,13.5711,13.9021
concrete,0,0,0,7.673576,7.7092100000000015,7.451060000000001
concrete,0,0,1,7.673576,6.781839999999999,6.45602
concrete,0,0,2,7.673576,6.94915,6.724310000000001
concrete,0,0,3,7.673576,6.2922400000000005,6.13468
concrete,0,0,4,7.673576,7.5884800000000014,7.7881
concrete,0,0,5,7.673576,7.1595,6.710389999999999
concrete,1,1,0,7.534553999999999,6.49785,6.7206600000000005
concrete,1,1,1,7.534553999999999,7.8464300000000025,8.25561
concrete,1,1,2,7.534553999999999,6.41285,6.49845
concrete,1,1,3,7.534553999999999,6.24737,6.5056400000000005
