dataset,conf,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
energyHeating,1,3,1,1.395702,1.70723,1.8858599999999999
energyHeating,1,3,2,1.395702,1.95768,2.23303
energyHeating,1,3,3,1.395702,1.8885,2.12392
energyHeating,1,3,4,1.395702,0.985817,1.08168
energyHeating,1,3,5,1.395702,0.927625,0.9439799999999999
energyHeating,1,4,0,1.532808,0.951108,0.992943
energyHeating,1,4,1,1.532808,1.7982,1.67523
energyHeating,1,4,2,1.532808,0.801048,0.851764
energyHeating,1,4,3,1.532808,1.08899,1.13523
energyHeating,1,4,4,1.532808,1.48423,1.42447
energyHeating,1,4,5,1.532808,1.01349,1.15315
Geographical,0,0,0,43.90222,41.0394,46.4585
Geographical,0,0,1,43.90222,40.8604,46.1184
Geographical,0,0,2,43.90222,40.5322,44.5445
Geographical,0,0,3,43.90222,42.6649,48.1172
Geographical,0,0,4,43.90222,41.0562,45.3593
Geographical,0,0,5,43.90222,40.5894,45.6782
Geographical,0,1,0,45.06985999999999,41.6262,45.5565
Geographical,0,1,1,45.06985999999999,42.8902,46.5761
Geographical,0,1,2,45.06985999999999,41.1432,43.8411
Geographical,0,1,3,45.06985999999999,41.1185,43.8395
Geographical,0,1,4,45.06985999999999,40.9049,44.3832
Geographical,0,1,5,45.06985999999999,40.830999999999996,45.3405
Geographical,1,2,0,45.33130000000001,42.9599,43.3225
Geographical,1,2,1,45.33130000000001,42.6481,42.4311
Geographical,1,2,2,45.33130000000001,42.7974,42.8509
Geographical,1,2,3,45.33130000000001,42.8791,43.3023
Geographical,1,2,4,45.33130000000001,42.4782,42.4178
Geographical,1,2,5,45.33130000000001,41.6255,44.6454
Geographical,1,3,0,44.69880000000001,42.6453,42.6065
Geographical,1,3,1,44.69880000000001,42.4893,42.93600000000001
Geographical,1,3,2,44.69880000000001,42.79600000000001,42.7536
Geographical,1,3,3,44.69880000000001,42.8675,43.3069
Geographical,1,3,4,44.69880000000001,42.6892,42.3384
Geographical,1,3,5,44.69880000000001,44.7782,41.9279
Geographical,1,4,0,44.2248,42.4324,45.0434
Geographical,1,4,1,44.2248,42.4628,44.6475
Geographical,1,4,2,44.2248,41.6949,44.7264
Geographical,1,4,3,44.2248,41.9813,45.3259
Geographical,1,4,4,44.2248,41.9752,44.7052
Geographical,1,4,5,44.2248,41.5321,45.4095
towerData,8,0,0,61.9057,58.1488,63.146
towerData,8,0,1,61.9057,68.5042,71.3789
towerData,8,0,2,61.9057,70.7471,73.7409
towerData,8,0,3,61.9057,61.8815,64.8034
towerData,8,0,4,61.9057,62.7438,66.1134
towerData,8,0,5,61.9057,61.0879,64.0292
towerData,8,1,0,63.35366000000001,63.0128,60.755
towerData,8,1,1,63.35366000000001,59.6869,57.8475
towerData,8,1,2,63.35366000000001,62.2135,60.6871
towerData,8,1,3,63.35366000000001,69.2062,67.4694
towerData,8,1,4,63.35366000000001,63.3858,62.0001
towerData,8,1,5,63.35366000000001,58.516999999999996,55.5012
towerData,7,2,0,61.55538000000001,62.0833,62.5183
towerData,7,2,1,61.55538000000001,63.913999999999994,64.6975
towerData,7,2,2,61.55538000000001,65.10300000000001,66.5303
towerData,7,2,3,61.55538000000001,58.21100000000001,59.2895
towerData,7,2,4,61.55538000000001,58.7499,59.7397
towerData,7,2,5,61.55538000000001,65.1135,65.8813
towerData,4,3,0,61.3507,62.9655,61.6695
towerData,4,3,1,61.3507,61.7347,59.9499
towerData,4,3,2,61.3507,72.2337,73.1029
towerData,4,3,3,61.3507,66.993,66.6432
towerData,4,3,4,61.3507,66.5285,65.5459
towerData,4,3,5,61.3507,76.2067,76.0384
towerData,7,4,0,59.80936000000001,60.4121,59.2395
towerData,7,4,1,59.80936000000001,55.8293,54.9825
towerData,7,4,2,59.80936000000001,60.4708,60.523
towerData,7,4,3,59.80936000000001,69.4912,68.498
towerData,7,4,4,59.80936000000001,67.9341,66.8366
towerData,7,4,5,59.80936000000001,62.0413,60.7523
tecator,7,0,0,1.433144,1.0407,1.4218
tecator,7,0,1,1.433144,1.59559,1.62782
tecator,7,0,2,1.433144,1.02015,1.1527
tecator,7,0,3,1.433144,2.3694599999999997,3.21614
tecator,7,0,4,1.433144,2.30464,3.07696
tecator,7,0,5,1.433144,0.904603,1.56741
tecator,0,1,0,1.3066346000000002,0.6888850000000001,1.28804
tecator,0,1,1,1.3066346000000002,0.632598,1.32064
tecator,0,1,2,1.3066346000000002,0.812955,1.33753
tecator,0,1,3,1.3066346000000002,0.771065,1.1761
tecator,0,1,4,1.3066346000000002,0.935038,1.37151
tecator,0,1,5,1.3066346000000002,0.733675,1.09264
tecator,1,2,0,1.404324,2.02932,2.38133
tecator,1,2,1,1.404324,0.8743879999999999,1.25384
tecator,1,2,2,1.404324,0.870461,1.1246
tecator,1,2,3,1.404324,0.813654,1.63503
tecator,1,2,4,1.404324,0.7787470000000001,1.3903
tecator,1,2,5,1.404324,0.973533,1.44753
tecator,0,3,0,1.2001323999999998,0.8036270000000001,1.2026
tecator,0,3,1,1.2001323999999998,0.79875,1.2554
tecator,0,3,2,1.2001323999999998,0.7915479999999999,0.915238
tecator,0,3,3,1.2001323999999998,0.7309760000000001,0.8702629999999999
tecator,0,3,4,1.2001323999999998,0.710483,0.853316
tecator,0,3,5,1.2001323999999998,0.8919950000000001,1.05903
tecator,6,4,0,1.4268459999999998,1.20912,1.39089
tecator,6,4,1,1.4268459999999998,0.789858,0.868093
tecator,6,4,2,1.4268459999999998,1.18649,1.22776
tecator,6,4,3,1.4268459999999998,1.50458,1.67188
tecator,6,4,4,1.4268459999999998,0.746992,0.999061
tecator,6,4,5,1.4268459999999998,0.948876,1.10546
wineRed,0,0,0,0.6416916,0.613186,0.638789
wineRed,0,0,1,0.6416916,0.624128,0.641867
wineRed,0,0,2,0.6416916,0.620232,0.632704
wineRed,0,0,3,0.6416916,0.620875,0.6446069999999999
wineRed,0,0,4,0.6416916,0.62569,0.635519
wineRed,0,0,5,0.6416916,0.623648,0.639087
wineRed,1,1,0,0.658825,0.631736,0.593846
wineRed,1,1,1,0.658825,0.640626,0.620875
wineRed,1,1,2,0.658825,0.628948,0.598579
wineRed,1,1,3,0.658825,0.629147,0.6206
wineRed,1,1,4,0.658825,0.626801,0.601979
wineRed,1,1,5,0.658825,0.6304069999999999,0.606438
wineRed,0,2,0,0.6472840000000001,0.616128,0.623107
wineRed,0,2,1,0.6472840000000001,0.623189,0.6231770000000001
wineRed,0,2,2,0.6472840000000001,0.621135,0.625532
wineRed,0,2,3,0.6472840000000001,0.629031,0.634451
wineRed,0,2,4,0.6472840000000001,0.619791,0.626684
wineRed,0,2,5,0.6472840000000001,0.620958,0.625894
wineRed,0,3,0,0.6479543999999999,0.623037,0.6318199999999999
wineRed,0,3,1,0.6479543999999999,0.622916,0.621125
wineRed,0,3,2,0.6479543999999999,0.642008,0.667042
wineRed,0,3,3,0.6479543999999999,0.624138,0.630247
wineRed,0,3,4,0.6479543999999999,0.632926,0.644705
wineRed,0,3,5,0.6479543999999999,0.6253449999999999,0.63942
wineRed,8,4,0,0.6333976,0.628414,0.724089
wineRed,8,4,1,0.6333976,0.6157699999999999,0.6930649999999999
wineRed,8,4,2,0.6333976,0.616865,0.698394
wineRed,8,4,3,0.6333976,0.622817,0.706936
wineRed,8,4,4,0.6333976,0.627638,0.696327
wineRed,8,4,5,0.6333976,0.6215109999999999,0.703997
wineWhite,5,0,0,0.7332479999999999,0.724403,0.7263
wineWhite,5,0,1,0.7332479999999999,0.7768729999999999,0.7758550000000001
wineWhite,5,0,2,0.7332479999999999,0.769562,0.770733
wineWhite,5,0,3,0.7332479999999999,0.728956,0.731288
wineWhite,5,0,4,0.7332479999999999,0.767055,0.764827
wineWhite,5,0,5,0.7332479999999999,0.7251529999999999,0.726338
wineWhite,3,1,0,0.7306858,0.738121,0.763871
wineWhite,3,1,1,0.7306858,0.733183,0.746311
wineWhite,3,1,2,0.7306858,0.7259180000000001,0.741973
wineWhite,3,1,3,0.7306858,0.720691,0.734875
wineWhite,3,1,4,0.7306858,0.723364,0.7419439999999999
wineWhite,3,1,5,0.7306858,0.723425,0.735294
wineWhite,7,2,0,0.7268142,0.723209,0.75107
wineWhite,7,2,1,0.7268142,0.723649,0.751604
wineWhite,7,2,2,0.7268142,0.723692,0.755479
wineWhite,7,2,3,0.7268142,0.724681,0.764447
wineWhite,7,2,4,0.7268142,0.72037,0.760213
wineWhite,7,2,5,0.7268142,0.723383,0.75675
wineWhite,7,3,0,0.7344972,0.731334,0.728326
wineWhite,7,3,1,0.7344972,0.7378779999999999,0.7353729999999999
wineWhite,7,3,2,0.7344972,0.733468,0.728544
wineWhite,7,3,3,0.7344972,0.726475,0.7182189999999999
wineWhite,7,3,4,0.7344972,0.747212,0.733258
wineWhite,7,3,5,0.7344972,0.727942,0.7201649999999999
wineWhite,7,4,0,0.7350916000000001,0.73146,0.7170529999999999
wineWhite,7,4,1,0.7350916000000001,0.733243,0.718952
wineWhite,7,4,2,0.7350916000000001,0.760283,0.736153
wineWhite,7,4,3,0.7350916000000001,0.731514,0.719581
wineWhite,7,4,4,0.7350916000000001,0.730544,0.720094
wineWhite,7,4,5,0.7350916000000001,0.731399,0.721128
yacht,1,0,0,8.36457,5.40642,5.04798
yacht,1,0,1,8.36457,9.06548,8.59863
yacht,1,0,2,8.36457,8.15398,7.957439999999999
yacht,1,0,3,8.36457,9.789480000000001,9.29607
yacht,1,0,4,8.36457,8.8036,7.98287
yacht,1,0,5,8.36457,9.4944,8.91656
yacht,0,1,0,8.87454,9.23795,9.65502
yacht,0,1,1,8.87454,8.689860000000001,8.77957
yacht,0,1,2,8.87454,8.76224,8.90018
yacht,0,1,3,8.87454,8.76223,8.92525
yacht,0,1,4,8.87454,8.647160000000001,8.99414
yacht,0,1,5,8.87454,8.77913,9.12197
yacht,3,2,0,9.206196,10.8531,10.4753
yacht,3,2,1,9.206196,10.4549,10.1063
yacht,3,2,2,9.206196,9.31421,9.8037
yacht,3,2,3,9.206196,10.2785,10.0652
yacht,3,2,4,9.206196,8.792110000000001,8.1639
yacht,3,2,5,9.206196,8.28014,9.35869
yacht,0,3,0,9.42021,7.18332,9.02651
yacht,0,3,1,9.42021,7.0290300000000006,9.16341
yacht,0,3,2,9.42021,7.1726899999999985,9.37788
yacht,0,3,3,9.42021,8.30143,9.93567
yacht,0,3,4,9.42021,9.05271,10.702
yacht,0,3,5,9.42021,8.48137,10.1587
yacht,1,4,0,9.295346,8.328,8.39772
yacht,1,4,1,9.295346,9.73661,8.58089
yacht,1,4,2,9.295346,9.62053,8.94367
yacht,1,4,3,9.295346,8.48274,8.23144
yacht,1,4,4,9.295346,9.81767,9.35377
yacht,1,4,5,9.295345999999999,9.52104,8.96792
