Dataset,Fold,RMSE_train,RMSE_test,expr,disentanglement
airfoil,1,2.3195677760451754,2.3360809002843363,tanh(x0^(-2)*x3^(2)) + tanh(x0^(2)*x1*x2^(2)*x3^(-2)*x4) + sqrt.abs(x0^(-2)*x1^(2)*x2^(-1)*x3^(2)*x4^(-1)) + id(x0) + tanh(x0^(-2)*x1^(2)*x2^(-2)*x3^(-2)*x4^(-2)) + log(x0^(-2)*x2^(-1)) + id(x0^(-2)*x2^(-2)*x3*x4^(-1)) + tanh(x0^(-2)*x1^(-1)*x2^(-2)*x3^(2)) + id(x0^(-1)*x2^(2)*x3^(-1)*x4^(-1)) + tanh(x0^(2)*x1^(-2)*x3^(-2)*x4^(2)) + sin(x2^(-2)) + sqrt.abs(x0*x1*x2^(2)*x3^(2)) + log(x0^(-2)*x2^(-1)*x3^(-1)*x4) + sqrt.abs(x0^(-1)*x3^(-1)*x4^(2)) + sqrt.abs(x0^(-2)*x2*x3^(-1)*x4^(-2)) + sqrt.abs(x0^(-1)*x3*x4^(-1)),0.13483736150418457
airfoil,1,2.270595667947188,2.3239109584949182,cos(x0*x1*x4^(2)) + cos(x1*x2^(-2)*x4^(2)) + tanh(x0^(2)*x1^(-1)*x2^(2)*x3^(-2)*x4^(2)) + cos(x0^(-2)*x2^(-2)*x3^(2)*x4) + log(x0^(-2)*x2^(2)*x3^(2)*x4^(-2)) + sqrt.abs(x3^(-1)*x4^(-1)) + tanh(x1^(-1)*x2*x3*x4^(-1)) + id(x0*x4^(-1)) + log(x0^(2)*x3^(-2)*x4) + tanh(x0^(-2)*x2^(-1)*x3^(2)*x4^(-1)) + tanh(x0^(-2)*x4^(-2)) + sqrt.abs(x0^(-2)*x1*x2^(-2)*x3) + cos(x1*x2^(2)*x3^(-1)*x4) + cos(x0^(-2)*x1*x2^(-2)*x3^(-1)*x4^(-1)) + tanh(x0^(2)*x1*x2^(2)*x4^(2)) + exp(x2^(-1)*x4^(2)),0.10436546825525861
airfoil,2,2.266626332324423,2.2061889743838017,cos(x0^(-1)*x1*x4^(-1)) + tanh(x3^(-2)*x4^(-1)) + sqrt.abs(x0^(-2)*x1^(2)*x2^(-2)) + sqrt.abs(x0^(2)*x2*x3^(-1)) + sqrt.abs(x0^(-2)*x3^(2)*x4^(2)) + id(x0^(-1)*x1*x2^(2)*x4^(2)) + log(x0^(2)*x3^(-2)) + exp(x1*x4^(2)) + tanh(x0^(-2)*x4^(-2)) + log(x0^(2)*x2^(2)*x3*x4^(-1)) + exp(x0^(-2)*x1^(2)*x2^(-2)*x4^(2)) + id(x0^(-2)*x1^(2)*x2^(-2)*x3*x4^(-1)) + tanh(x0^(2)*x1^(-2)*x2*x3*x4^(2)) + tanh(x0^(-1)*x1^(2)*x2^(-2)*x3^(-2)) + id(x0*x3^(-1)) + log(x2^(-2)*x4^(-2)),0.15944178313370427
airfoil,2,2.3574504099756006,2.21473150913914,sin(x0^(-1)*x2^(-2)*x3*x4) + tanh(x0^(2)*x1^(-1)*x3^(-1)*x4^(2)) + log(x0^(-1)*x2*x3^(-1)*x4^(2)) + sqrt.abs(x0) + sin(x1^(2)*x2^(-1)*x3^(-1)*x4) + id(x0^(-2)*x1^(2)*x2^(-1)*x3^(2)*x4^(-2)) + tanh(x1^(-2)*x2^(-2)*x3^(-2)*x4^(-2)) + tanh(x0^(2)*x1^(-1)*x2^(2)*x3^(-1)*x4^(2)) + sqrt.abs(x0^(-2)*x3*x4^(-2)) + sin(x0^(-1)*x1^(2)*x2^(2)*x3) + log(x0^(-1)*x2^(-1)*x4) + sqrt.abs(x0^(-2)*x1*x2^(-2)*x3^(2)*x4^(-1)) + tanh(x0^(-2)*x1^(2)*x2^(-2)*x3^(-2)*x4^(-2)) + log(x0^(2)*x2^(-1)*x3^(-2)*x4^(2)) + tanh(x0^(-1)*x1*x2^(2)*x4^(2)) + cos(x0^(-1)*x1*x4^(-1)),0.129112953811258
airfoil,2,2.2042967594550125,2.113917091033068,cos(x0^(-2)*x3*x4^(-2)) + cos(x2^(-1)) + sqrt.abs(x0^(-2)*x1^(2)*x2^(-2)*x3) + sqrt.abs(x0^(-1)*x2) + tanh(x0^(-2)*x1^(2)*x2^(2)*x3^(-2)*x4^(-1)) + sqrt.abs(x0^(-2)*x2^(2)*x4^(-2)) + sqrt.abs(x0^(2)*x2^(-1)*x3^(2)*x4^(-1)) + tanh(x0^(-1)*x1^(2)*x2^(-2)*x3^(-2)*x4^(2)) + sqrt.abs(x0^(-1)*x1*x3^(-2)*x4^(2)) + id(x0^(-1)*x1*x2^(2)*x4) + log(x0^(2)*x2^(2)) + sin(x1*x3^(2)*x4) + log(x2^(-1)*x3^(-2)*x4^(2)) + sqrt.abs(x0^(-1)*x1*x3^(-1)*x4^(-1)) + tanh(x0^(-2)*x2^(-1)*x3*x4^(-1)) + sin(x0^(-2)*x2),0.0943298580397617
airfoil,2,2.332254272004452,2.305253970134125,cos(x1^(2)*x2^(2)*x4^(-1)) + id(x1^(2)*x2*x3^(2)*x4^(2)) + tanh(x0^(-2)*x1^(-1)*x2*x3^(2)*x4^(-2)) + log(x2) + tanh(x0^(-2)*x2^(-2)*x4^(-2)) + sqrt.abs(x0*x4) + sqrt.abs(x0^(-1)*x2*x3^(2)*x4^(2)) + tanh(x0^(-1)*x1^(2)*x2^(-2)*x3^(-1)*x4^(2)) + exp(x0^(-1)*x1^(2)*x2^(2)*x4) + tanh(x0^(-2)*x4^(-2)) + exp(x0^(-2)*x1^(2)*x4^(2)) + sqrt.abs(x0^(2)*x3^(-1)) + exp(x0^(-1)*x1*x2^(-1)*x4) + sqrt.abs(x0^(-2)*x1^(2)*x2^(-1)*x3^(2)*x4^(-2)) + id(x0*x3*x4) + tanh(x0^(2)*x1^(-2)*x2*x3*x4^(2)),0.11038883597850994
airfoil,2,2.329886324948746,2.3322148593255223,tanh(x0^(2)*x2^(2)*x4) + tanh(x1^(-2)*x2^(-2)*x3^(-1)*x4) + cos(x0^(-2)*x1^(2)*x4^(-1)) + id(x0^(2)*x3^(-2)*x4^(-1)) + sqrt.abs(x0^(-1)*x2^(-2)*x3^(-2)*x4^(-2)) + id(x3^(-1)*x4^(-1)) + tanh(x0*x1*x3*x4^(-1)) + exp(x2*x3^(-1)*x4^(2)) + tanh(x0^(2)*x2^(-1)*x3^(-1)*x4^(2)) + sqrt.abs(x0^(-2)*x3^(-1)*x4^(-1)) + log(x0^(2)*x2^(2)*x3^(-2)*x4^(2)) + log(x0^(2)*x2*x3^(2)) + log(x0*x2^(2)*x3*x4^(2)) + cos(x1^(2)*x2^(-2)*x3^(-1)*x4^(2)) + sqrt.abs(x0^(-2)*x2^(-2)*x3) + tanh(x0^(-1)*x2^(-1)*x4^(-1)),0.1332899261874345
airfoil,2,2.211330486884456,2.1452533820482027,cos(x3*x4^(-2)) + tanh(x0^(-2)*x1^(2)*x4^(-2)) + cos(x1*x4^(2)) + sqrt.abs(x0^(-1)*x1*x4^(-2)) + sqrt.abs(x3^(2)*x4^(-2)) + tanh(x0^(-1)*x4^(-1)) + sqrt.abs(x0*x4^(-1)) + tanh(x0^(-2)*x2^(-1)*x3*x4^(-1)) + cos(x2^(-1)) + tanh(x1^(-1)*x3^(-2)*x4^(-2)) + tanh(x0^(-2)*x1^(2)*x4^(-1)) + id(x0^(2)*x2*x4) + log(x0^(2)*x2*x3^(-1)*x4) + id(x0^(-1)*x3^(-2)*x4) + sqrt.abs(x4^(-1)) + sqrt.abs(x0^(-2)*x1*x2^(-2)*x3),0.11455310142398568
airfoil,3,2.2877122954560662,2.628916366217619,sqrt.abs(x0^(-1)*x2^(-2)*x3^(2)*x4^(2)) + id(x0^(-2)*x2^(-1)*x3^(2)*x4^(-2)) + log(x0^(2)*x2^(-2)*x3*x4^(-2)) + sqrt.abs(x0^(-1)*x2^(2)*x3^(2)*x4^(-2)) + sin(x0^(-1)*x2^(2)*x3^(-1)*x4^(2)) + sin(x1^(2)*x4^(2)) + tanh(x0^(-2)*x1^(-2)*x3^(2)*x4^(-2)) + tanh(x1*x2*x3^(-2)*x4^(2)) + exp(x0^(-2)*x3) + tanh(x0^(2)*x2*x3^(-2)*x4) + sqrt.abs(x1^(2)*x4^(-2)) + sqrt.abs(x0^(-2)*x2^(-2)*x3^(2)*x4) + tanh(x3^(-2)*x4^(-1)) + sqrt.abs(x0^(2)*x2*x3^(-1)*x4) + tanh(x0^(2)*x2^(2)*x3^(-2)*x4) + sqrt.abs(x0^(-2)*x4^(-1)),0.11707433975507682
airfoil,3,2.2932260589684166,2.55974791405916,cos(x2^(-1)) + cos(x2^(-2)*x3^(-2)*x4^(-1)) + tanh(x0^(2)*x1*x2^(2)*x3^(-1)*x4) + tanh(x1^(-1)*x4) + tanh(x0^(2)*x1^(-1)*x2^(2)*x4) + tanh(x0*x1*x2*x3^(-1)) + tanh(x0^(-2)*x2^(-1)*x3^(2)*x4^(-1)) + sin(x0^(-2)*x2^(2)*x4^(-1)) + cos(x1*x3*x4^(2)) + tanh(x3^(-2)*x4) + tanh(x0^(-1)*x2*x4^(-1)) + log(x0^(-2)*x2^(-1)*x3^(2)*x4) + id(x2^(-1)*x3^(-2)) + sqrt.abs(x0^(-2)*x2^(-2)*x3) + tanh(x0^(-2)*x4^(-2)) + log(x3^(-1)*x4^(-2)),0.10661452794278467
