dataset,conf_id,Fold,Rep,RMSE_cv,RMSE_train,RMSE_test
airfoil,0,0,0,9.144840771871461,8.477716065102035,8.278630918172562
airfoil,0,0,1,9.144840771871461,7.8709768621018625,7.695525109257682
airfoil,0,0,2,9.144840771871461,6.896726926069841,6.895255566372659
airfoil,0,0,3,9.144840771871461,6.908958160790824,6.924614444894327
airfoil,0,0,4,9.144840771871461,7.17010605408108,7.13338867781882
airfoil,0,0,5,9.144840771871461,6.895911985018016,6.907029043912497
airfoil,0,1,0,9.635538587914978,8.494143341585243,8.318560301624746
airfoil,0,1,1,9.635538587914978,8.035035153305817,7.795955242963643
airfoil,0,1,2,9.635538587914978,7.143900034720781,6.853323660859386
airfoil,0,1,3,9.635538587914978,6.95174679693167,6.674332390469221
airfoil,0,1,4,9.635538587914978,7.287177466389157,6.970938319623089
airfoil,0,1,5,9.635538587914978,6.9507787703239945,6.674723934764803
airfoil,0,2,0,7.046066652745699,7.562850178708042,7.280398220083314
airfoil,0,2,1,7.046066652745699,6.969597678162287,6.766948300408953
airfoil,0,2,2,7.046066652745699,7.136507492716929,6.925668983750666
airfoil,0,2,3,7.046066652745699,6.939438551611609,6.735734309131943
airfoil,0,2,4,7.046066652745699,7.083291892967558,6.992126042530519
airfoil,0,2,5,7.046066652745699,6.937130825140664,6.734034133711598
airfoil,0,3,0,14.546395997798035,7.206096716498641,6.994880064930269
airfoil,0,3,1,14.546395997798035,7.2195446240098455,7.085720509126926
airfoil,0,3,2,14.546395997798035,6.922737022067345,6.7920154792038305
airfoil,0,3,3,14.546395997798035,7.168828421248777,7.024441695749807
airfoil,0,3,4,14.546395997798035,7.182514544274023,7.068216884060504
airfoil,0,3,5,14.546395997798035,13.905961895425259,13.888850451940252
airfoil,0,4,0,6.870318520173948,6.829222715926897,7.459627447136957
airfoil,0,4,1,6.870318520173948,7.520664346421378,8.108734826644756
airfoil,0,4,2,6.870318520173948,9.301982169320116,9.678029359941704
airfoil,0,4,3,6.870318520173948,6.843856636354779,7.442713540744767
airfoil,0,4,4,6.870318520173948,7.953077250463433,8.529567055170883
airfoil,0,4,5,6.870318520173948,7.126672874295588,7.74584824730174
concrete,0,0,0,18.488589178982018,17.54812063597597,17.049997580532374
concrete,0,0,1,18.488589178982018,17.916899283433665,17.575598785254144
concrete,0,0,2,18.488589178982018,17.132892003061574,16.620078383913945
concrete,0,0,3,18.488589178982018,19.375010247182594,18.884327208951657
concrete,0,0,4,18.488589178982018,20.508635721442896,19.91328620107601
concrete,0,0,5,18.488589178982018,17.965946429613304,17.438728729731586
concrete,0,1,0,22.437151068975037,19.042845667258305,19.1826478043921
concrete,0,1,1,22.437151068975037,18.065131828335495,18.75432033202313
concrete,0,1,2,22.437151068975037,18.987493823995926,19.329275801052756
concrete,0,1,3,22.437151068975037,19.024670392704383,19.404452429040862
concrete,0,1,4,22.437151068975037,26.677078009338807,26.9971841487321
concrete,0,1,5,22.437151068975037,19.662304264656537,20.00167860726561
concrete,0,2,0,19.37156025034553,17.594544684142555,17.654582681065275
concrete,0,2,1,19.37156025034553,19.335664021019916,19.471866448519286
concrete,0,2,2,19.37156025034553,20.796295718493898,21.05085140619036
concrete,0,2,3,19.37156025034553,18.291796097937095,18.335726473221893
concrete,0,2,4,19.37156025034553,17.625493124421823,17.637097284514002
concrete,0,2,5,19.37156025034553,21.536536188535415,21.72953368849786
concrete,0,3,0,18.92122778707249,17.15936475137174,17.99449653525954
concrete,0,3,1,18.92122778707249,17.88678838391407,18.574564132806188
concrete,0,3,2,18.92122778707249,16.530635230222703,17.355666723943223
concrete,0,3,3,18.92122778707249,19.676270967650954,20.486058420469544
concrete,0,3,4,18.92122778707249,18.352437178639942,19.256931926002665
concrete,0,3,5,18.92122778707249,17.415184569933984,18.190495360957584
concrete,0,4,0,18.612306726554728,20.31124419634984,19.685211248015538
