14	55	477	0	6	0
402	137	36	1	10	0.694762
36	22	291	0	11	0
76	93	558	0	12	0
238	459	36	1	16	0.178599
356	310	36	1	28	0.821296
319	387	55	1	34	0.933804
36	-1	-1	-2	36	0
21	60	272	0	39	0
55	22	331	0	47	0
57	36	198	0	57	0
42	36	195	0	74	0
36	8	135	0	97	0
***
11	11	364	0	0	0
36	11	366	0	3	0
34	39	373	0	5	0
28	74	547	0	12	0
12	11	220	0	14	0
16	-1	-1	-2	16	0
34	34	106	0	31	0
36	6	106	0	38	0
10	47	440	0	41	0
97	34	139	0	46	0
28	57	555	0	51	0
28	36	337	0	64	0
36	34	497	0	70	0
36	6	262	0	88	0
***
5	38	218	0	5	0
46	5	452	0	6	0
46	16	510	0	19	0
12	3	478	0	39	0
14	16	511	0	40	0
473	392	16	1	66	0.572438
88	16	349	0	68	0
0	14	553	0	70	0
64	16	524	0	75	0
31	14	171	0	81	0
115	232	0	1	82	0.470431
0	70	317	0	89	0
41	14	261	0	92	0
51	88	167	0	96	0
452	425	88	1	99	0.451492
***
19	40	549	0	7	0
70	89	581	0	18	0
40	92	173	0	22	0
258	504	99	1	38	0.49478
99	82	423	0	39	0
254	570	82	1	50	0.83821
39	6	266	0	55	0
597	534	66	1	63	0.675399
441	264	99	1	64	0.0936359
66	-1	-1	-2	66	0
106	336	75	1	67	0.974976
68	5	379	0	68	0
99	96	575	0	76	0
82	81	422	0	80	0
189	234	40	1	82	0.142425
66	70	205	0	93	0
***
385	394	93	1	1	0.987996
596	346	82	1	25	0.480739
539	418	82	1	28	0.214036
66	18	591	0	29	0
63	50	271	0	31	0
50	38	325	0	35	0
68	55	221	0	36	0
66	80	568	0	41	0
68	64	381	0	42	0
67	22	270	0	65	0
68	-1	-1	-2	68	0
63	38	165	0	71	0
93	7	517	0	72	0
68	76	402	0	77	0
342	218	66	1	81	0.640681
66	39	481	0	87	0
64	68	481	0	88	0
***
1	-1	-1	-2	1	0
68	29	350	0	9	0
507	528	29	1	16	0.787436
1	35	390	0	32	0
81	87	230	0	33	0
65	1	147	0	34	0
167	319	1	1	42	0.338471
41	36	575	0	46	0
77	29	561	0	60	0
41	31	104	0	73	0
235	511	28	1	82	0.876317
505	377	88	1	84	0.916673
281	346	1	1	87	0.517141
1	42	450	0	91	0
68	72	246	0	93	0
25	71	557	0	98	0
***
34	93	308	0	2	0
16	33	479	0	4	0
42	93	129	0	11	0
82	9	432	0	19	0
32	1	588	0	38	0
84	32	106	0	39	0
118	507	82	1	47	0.151238
452	209	60	1	55	0.645234
98	82	503	0	66	0
93	16	128	0	69	0
123	328	87	1	72	0.54949
91	42	119	0	81	0
82	-1	-1	-2	82	0
73	82	143	0	90	0
32	46	159	0	91	0
***
47	4	176	0	6	0
82	39	139	0	9	0
66	38	491	0	15	0
276	107	90	1	20	0.0912235
47	81	204	0	24	0
19	11	309	0	28	0
81	90	527	0	32	0
55	82	352	0	34	0
570	425	90	1	51	0.774927
72	82	244	0	55	0
82	55	575	0	58	0
373	558	91	1	61	0.986999
90	47	438	0	65	0
238	334	81	1	71	0.665262
19	2	417	0	74	0
19	69	422	0	77	0
82	-1	-1	-2	82	0
***
9	32	141	0	2	0
82	55	101	0	5	0
397	466	28	1	8	0.88897
573	348	51	1	12	0.3643
366	204	9	1	21	0.984021
569	209	15	1	40	0.619052
368	589	58	1	62	0.811731
32	55	299	0	65	0
71	6	387	0	71	0
20	32	137	0	74	0
82	61	577	0	78	0
534	366	65	1	86	0.0544721
32	77	431	0	87	0
32	24	366	0	88	0
74	34	345	0	90	0
32	32	231	0	99	0
***
21	2	122	0	6	0
548	587	90	1	7	0.775366
40	78	284	0	12	0
21	-1	-1	-2	21	0
307	354	88	1	26	0.705549
21	99	224	0	35	0
74	88	378	0	41	0
5	86	433	0	44	0
65	99	559	0	50	0
62	12	149	0	59	0
8	21	440	0	75	0
40	87	393	0	77	0
62	71	463	0	88	0
***
75	6	472	0	4	0
6	-1	-1	-2	6	0
59	21	443	0	9	0
141	455	77	1	10	0.894724
6	41	536	0	13	0
26	75	340	0	21	0
35	44	261	0	37	0
6	6	286	0	40	0
35	12	221	0	52	0
88	7	178	0	54	0
59	50	331	0	55	0
309	560	21	1	65	0.195728
***
6	-1	-1	-2	6	0
10	54	577	0	18	0
65	55	501	0	41	0
65	37	237	0	54	0
198	314	52	1	55	0.346075
65	40	223	0	62	0
10	9	221	0	72	0
13	21	589	0	80	0
40	4	195	0	91	0
40	4	167	0	98	0
***
62	18	396	0	4	0
54	98	546	0	5	0
6	41	571	0	20	0
41	41	351	0	27	0
41	55	214	0	35	0
108	518	80	1	46	0.73199
62	91	484	0	69	0
91	41	261	0	72	0
103	298	41	1	78	0.67517
354	273	54	1	83	0.46447
72	6	542	0	86	0
301	339	41	1	90	0.0524755
***
492	472	78	1	14	0.0746872
27	46	572	0	17	0
35	86	486	0	18	0
90	4	172	0	29	0
239	550	20	1	40	0.187449
46	69	239	0	58	0
240	220	5	1	62	0.817176
78	72	218	0	75	0
78	-1	-1	-2	78	0
4	83	183	0	92	0
***
14	40	154	0	1	0
40	18	456	0	16	0
62	17	347	0	26	0
404	579	62	1	34	0.116364
199	133	62	1	43	0.441147
58	62	495	0	50	0
570	183	29	1	59	0.512751
62	-1	-1	-2	62	0
427	544	78	1	69	0.247561
62	92	104	0	76	0
375	121	75	1	97	0.437166
***
107	271	76	1	9	0.932325
43	62	555	0	14	0
43	-1	-1	-2	43	0
298	468	43	1	49	0.375792
34	16	585	0	66	0
114	263	50	1	74	0.850829
1	69	132	0	77	0
158	135	34	1	78	0.985286
34	97	348	0	93	0
26	59	516	0	98	0
***
49	74	114	0	2	0
9	77	453	0	42	0
49	9	549	0	51	0
548	171	98	1	52	0.5192
43	78	449	0	62	0
587	200	43	1	66	0.475521
93	49	592	0	68	0
14	66	383	0	70	0
262	581	9	1	92	0.956324
***
196	411	52	1	1	0.93317
92	51	514	0	4	0
92	70	224	0	26	0
70	62	315	0	46	0
42	68	356	0	48	0
66	2	460	0	91	0
92	-1	-1	-2	92	0
***
4	-1	-1	-2	4	0
92	48	408	0	9	0
46	1	264	0	33	0
236	201	26	1	36	0.719208
532	140	4	1	42	0.478012
4	91	272	0	80	0
***
80	42	339	0	0	0
585	552	36	1	4	0.770013
282	212	42	1	7	0.0819177
158	495	33	1	25	0.644859
42	-1	-1	-2	42	0
42	9	420	0	44	0
311	589	4	1	63	0.0841364
***
