dataset,conf,Fold,RMSE_train,RMSE_test
airfoil,{'alpha': 0.0001},0,4.8317476523489695,4.7398537276436485
airfoil,{'alpha': 0.0001},1,4.816876796824406,4.819202718140106
airfoil,{'alpha': 0.0001},2,4.834883809418537,4.744422840429942
airfoil,{'alpha': 0.0001},3,4.8540426862182615,4.6750072433143535
airfoil,{'alpha': 1e-05},4,4.741601046650821,5.1181730923893785
concrete,{'alpha': 1e-05},0,10.53089002291206,10.127723672465086
concrete,{'alpha': 1e-05},1,10.31152140392246,10.949405825222533
concrete,{'alpha': 0.001},2,10.413405699419542,10.97437713950104
concrete,{'alpha': 0.1},3,10.494011639670145,10.2643254780528
concrete,{'alpha': 1e-05},4,10.616137045232405,9.907003726140596
energyCooling,{'alpha': 1e-05},0,3.2143877499418685,3.202180061285844
energyCooling,{'alpha': 1e-05},1,3.219619254520814,3.2000527769651463
energyCooling,{'alpha': 1e-05},2,3.241640787236895,3.112379613303672
energyCooling,{'alpha': 1e-05},3,3.1815029865609783,3.400864863527332
energyCooling,{'alpha': 1e-05},4,3.2358549779811514,3.158160217287316
energyHeating,{'alpha': 0.0001},0,2.8896872641099547,3.16098368775914
energyHeating,{'alpha': 0.0001},1,2.967698204756666,2.8657658005845863
energyHeating,{'alpha': 0.0001},2,2.9981118892229914,2.8477458477715203
energyHeating,{'alpha': 1e-05},3,2.913529888072428,3.1142371368174384
energyHeating,{'alpha': 1e-05},4,3.0149961458744508,2.7221642176150587
Geographical,{'alpha': 1.0},0,43.640472900181216,44.392318490439976
Geographical,{'alpha': 1.0},1,43.869006565770604,43.804773996162176
Geographical,{'alpha': 1.0},2,44.27672166699607,42.22943656280102
Geographical,{'alpha': 1.0},3,43.84554221201149,42.157790553748775
Geographical,{'alpha': 1.0},4,43.600255822660074,43.829241338967364
towerData,{'alpha': 0.1},0,31.02291348433853,30.795463351339933
towerData,{'alpha': 0.1},1,31.39290257748978,29.62970714100685
towerData,{'alpha': 0.1},2,31.614424901215433,28.302634858824753
towerData,{'alpha': 0.01},3,28.86901119448464,37.250845895477575
towerData,{'alpha': 0.1},4,31.44152223439632,28.642647044931397
tecator,{'alpha': 0.01},0,0.7559167951627316,0.7864610978806142
tecator,{'alpha': 0.01},1,0.9182092865727718,0.7289650615706742
tecator,{'alpha': 0.01},2,0.7927245601581628,0.8074450261466898
tecator,{'alpha': 0.001},3,0.8153144651298252,0.8402216240015201
tecator,{'alpha': 0.01},4,0.8060221815817685,0.6139514916419625
wineRed,{'alpha': 0.0001},0,0.6511403645409224,0.6525595557342662
wineRed,{'alpha': 0.0001},1,0.6579933228117794,0.6233080235189793
wineRed,{'alpha': 0.0001},2,0.6561934538718337,0.6357425705318237
wineRed,{'alpha': 0.0001},3,0.6533576018774765,0.645379556381646
wineRed,{'alpha': 0.0001},4,0.6393136661080421,0.6964488780055841
wineWhite,{'alpha': 1e-05},0,0.7544194331318718,0.7485376268717346
wineWhite,{'alpha': 1e-05},1,0.7522195618951404,0.7572596653181235
wineWhite,{'alpha': 1e-05},2,0.7478657037880996,0.7716608432852532
wineWhite,{'alpha': 1e-05},3,0.7553058043519532,0.7476411401247541
wineWhite,{'alpha': 1e-05},4,0.7558721239198715,0.7443037648988831
yacht,{'alpha': 0.01},0,9.062519289998413,8.331905624227272
yacht,{'alpha': 0.01},1,8.87429012901508,9.161968079404216
yacht,{'alpha': 0.01},2,9.007279647744939,8.706896925927229
yacht,{'alpha': 0.01},3,8.717776111837722,10.058427344145107
yacht,{'alpha': 0.1},4,9.05808679444051,8.45833501666856
