dataset,conf,Fold,RMSE_train,RMSE_test
airfoil,"{'alpha': 1e-05, 'l1_ratio': 0.8}",0,4.831692033682352,4.739312926089501
airfoil,"{'alpha': 0.0001, 'l1_ratio': 1.0}",1,4.816876796824406,4.819202718140106
airfoil,"{'alpha': 1e-05, 'l1_ratio': 0.8}",2,4.834871394797725,4.745367132431382
airfoil,"{'alpha': 1e-05, 'l1_ratio': 0.8}",3,4.853985655058871,4.673487580803721
airfoil,"{'alpha': 1e-05, 'l1_ratio': 1.0}",4,4.741601046650821,5.1181730923893785
concrete,"{'alpha': 1.0, 'l1_ratio': 0.0}",0,10.530748360998997,10.12600355866334
concrete,"{'alpha': 1.0, 'l1_ratio': 0.0}",1,10.310655978817362,10.952571754093222
concrete,"{'alpha': 1.0, 'l1_ratio': 0.0}",2,10.412720267958424,10.97775458706846
concrete,"{'alpha': 1.0, 'l1_ratio': 0.0}",3,10.493118242616324,10.262107842206836
concrete,"{'alpha': 1.0, 'l1_ratio': 0.0}",4,10.61533462203352,9.903502560207363
energyCooling,"{'alpha': 1e-05, 'l1_ratio': 1.0}",0,3.2143877499418685,3.202180061285844
energyCooling,"{'alpha': 1e-05, 'l1_ratio': 1.0}",1,3.219619254520814,3.2000527769651463
energyCooling,"{'alpha': 1e-05, 'l1_ratio': 1.0}",2,3.241640787236895,3.112379613303672
energyCooling,"{'alpha': 1e-05, 'l1_ratio': 1.0}",3,3.1815029865609783,3.400864863527332
energyCooling,"{'alpha': 1e-05, 'l1_ratio': 1.0}",4,3.2358549779811514,3.158160217287316
energyHeating,"{'alpha': 1e-05, 'l1_ratio': 0.5}",0,2.889584895021581,3.159517048247777
energyHeating,"{'alpha': 1e-05, 'l1_ratio': 0.8}",1,2.9676515530143117,2.8660550226655457
energyHeating,"{'alpha': 1e-05, 'l1_ratio': 0.5}",2,2.998043165661765,2.848542290038403
energyHeating,"{'alpha': 1e-05, 'l1_ratio': 1.0}",3,2.913529888072428,3.1142371368174384
energyHeating,"{'alpha': 1e-05, 'l1_ratio': 1.0}",4,3.0149961458744508,2.7221642176150587
Geographical,"{'alpha': 1.0, 'l1_ratio': 0.8}",0,43.57923037057419,44.694589116210224
Geographical,"{'alpha': 0.1, 'l1_ratio': 0.0}",1,43.58261334702957,43.43062827592928
Geographical,"{'alpha': 0.1, 'l1_ratio': 0.0}",2,43.927991109663154,41.92328814068753
Geographical,"{'alpha': 1.0, 'l1_ratio': 1.0}",3,43.84554221201149,42.157790553748775
Geographical,"{'alpha': 0.1, 'l1_ratio': 0.0}",4,43.54172618705139,43.831373467382576
towerData,"{'alpha': 0.01, 'l1_ratio': 0.5}",0,30.73353949328803,30.936844310898252
towerData,"{'alpha': 0.01, 'l1_ratio': 0.5}",1,31.15025120177001,29.913660853389448
towerData,"{'alpha': 0.01, 'l1_ratio': 0.5}",2,31.332263011783976,28.76349215040361
towerData,"{'alpha': 0.01, 'l1_ratio': 1.0}",3,28.86901119448464,37.250845895477575
towerData,"{'alpha': 0.01, 'l1_ratio': 0.5}",4,31.224974312881034,28.99434202185329
tecator,"{'alpha': 0.01, 'l1_ratio': 0.0}",0,0.7472914207866742,0.7570910670176256
tecator,"{'alpha': 0.1, 'l1_ratio': 0.0}",1,0.8406653601185409,0.7369967369315369
tecator,"{'alpha': 0.01, 'l1_ratio': 1.0}",2,0.7927245601581628,0.8074450261466898
tecator,"{'alpha': 0.01, 'l1_ratio': 0.0}",3,0.8037848985904453,0.8258537246637658
tecator,"{'alpha': 0.01, 'l1_ratio': 0.8}",4,0.8049109281674444,0.6165841218322722
wineRed,"{'alpha': 0.0001, 'l1_ratio': 1.0}",0,0.6511403645409224,0.6525595557342662
wineRed,"{'alpha': 0.0001, 'l1_ratio': 0.0}",1,0.6579663542134645,0.6235173586408429
wineRed,"{'alpha': 0.0001, 'l1_ratio': 1.0}",2,0.6561934538718337,0.6357425705318237
wineRed,"{'alpha': 0.0001, 'l1_ratio': 0.0}",3,0.6533351548366713,0.6453558244997348
wineRed,"{'alpha': 0.0001, 'l1_ratio': 0.5}",4,0.6393110296265281,0.6964309385109844
wineWhite,"{'alpha': 1e-05, 'l1_ratio': 1.0}",0,0.7544194331318718,0.7485376268717346
wineWhite,"{'alpha': 1e-05, 'l1_ratio': 1.0}",1,0.7522195618951404,0.7572596653181235
wineWhite,"{'alpha': 1e-05, 'l1_ratio': 1.0}",2,0.7478657037880996,0.7716608432852532
wineWhite,"{'alpha': 1e-05, 'l1_ratio': 1.0}",3,0.7553058043519532,0.7476411401247541
wineWhite,"{'alpha': 1e-05, 'l1_ratio': 1.0}",4,0.7558721239198715,0.7443037648988831
yacht,"{'alpha': 0.01, 'l1_ratio': 1.0}",0,9.062519289998413,8.331905624227272
yacht,"{'alpha': 0.001, 'l1_ratio': 0.8}",1,8.864506291472354,9.272928317333207
yacht,"{'alpha': 0.01, 'l1_ratio': 1.0}",2,9.007279647744939,8.706896925927229
yacht,"{'alpha': 0.01, 'l1_ratio': 1.0}",3,8.717776111837722,10.058427344145107
yacht,"{'alpha': 0.1, 'l1_ratio': 1.0}",4,9.05808679444051,8.45833501666856
